entityId:ID,name,entityType,affectAttributes,:LABEL
P014,充电限制电压,设计参数,影响方向:能量密度/安全性,DesignParam
P021,负极双面厚度_辊压后,设计参数,影响方向:离子扩散距离,DesignParam
P029,负极Si总含量_单层上层,设计参数,影响方向:容量/膨胀,DesignParam
P033,负极Si总含量_下层,设计参数,影响方向:容量/膨胀,DesignParam
P035,负极Si总占比_整体,设计参数,影响方向:综合性能,DesignParam
P038,负极压实密度,设计参数,影响方向:离子扩散/接触,DesignParam
P039,负极面密度,设计参数,影响方向:容量均匀性,DesignParam
P040,负极延展,设计参数,影响方向:尺寸变化,DesignParam
P041,负极单双面压实比,设计参数,影响方向:结构均匀性,DesignParam
P047,正极双面厚度_辊压后,设计参数,影响方向:离子扩散距离,DesignParam
P053,正极配方,设计参数,影响方向:材料体系,DesignParam
P056,正极压实密度,设计参数,影响方向:离子扩散/接触,DesignParam
P057,正极面密度,设计参数,影响方向:容量均匀性,DesignParam
P066,电解液物料编码,设计参数,影响方向:配方体系,DesignParam
P067,注液量_均值,设计参数,影响方向:界面润湿,DesignParam
P068,保液量_下限,设计参数,影响方向:循环寿命,DesignParam
P078,铝塑膜厚度,设计参数,影响方向:机械保护,DesignParam
P079,冲坑总深度,设计参数,影响方向:内部空间,DesignParam
P092,电芯层数_负极,设计参数,影响方向:容量设计,DesignParam
P105,水分含量控制,设计参数,影响方向:可靠性,DesignParam
P106,陈化条件,设计参数,影响方向:SEI形成,DesignParam
P107,化成压力,设计参数,影响方向:界面接触,DesignParam
P108,化成温度,设计参数,影响方向:SEI质量,DesignParam
P113,负极过量_NP比,设计参数,影响方向:析锂风险,DesignParam
P114,充电电流,设计参数,影响方向:快充能力,DesignParam
P116,充电上限电压,设计参数,影响方向:能量密度/安全性,DesignParam
P117,水分含量,设计参数,影响方向:可靠性,DesignParam
