:START_ID,:END_ID,:TYPE,description
M022,F036,CONTRIBUTES,高温下电解液热分解辅助产气
M006,F036,CONTRIBUTES,正极催化电解液氧化辅助产气
M023,F036,CONTRIBUTES,高温SEI重构辅助产气
M027,F036,CONTRIBUTES,电解液氧化分解辅助产气
M037,F036,CONTRIBUTES,产气积累导致外壳变形
M012,F043,CONTRIBUTES,循环副反应产气辅助膨胀
M028,F043,CONTRIBUTES,电解液还原分解辅助产气膨胀
M037,F043,CONTRIBUTES,产气压力积累加剧膨胀
M020,F043,CONTRIBUTES,极片内应力不均加剧变形
M012,F044,CONTRIBUTES,高温副反应产气辅助膨胀
M022,F044,CONTRIBUTES,高温电解液分解辅助产气
M006,F044,CONTRIBUTES,高温正极催化电解液氧化
M037,F044,CONTRIBUTES,产气压力积累加剧膨胀
M020,F044,CONTRIBUTES,极片内应力加剧变形
M020,F045,CONTRIBUTES,极片内应力不均导致不规则变形
M037,F045,CONTRIBUTES,产气压力辅助变形
M012,F045,CONTRIBUTES,副反应产气辅助变形
M011,F046,CONTRIBUTES,负极膨胀辅助鼓包形成
M012,F046,CONTRIBUTES,副反应产气辅助压力积累
M020,F046,CONTRIBUTES,极片内应力分布不均决定鼓包位置
M012,F047,CONTRIBUTES,循环副反应产气辅助膨胀
M028,F047,CONTRIBUTES,电解液还原分解辅助产气
M037,F047,CONTRIBUTES,产气压力积累辅助膨胀恶化
M020,F048,CONTRIBUTES,极片内应力导致锅盖形变形
M037,F048,CONTRIBUTES,产气压力辅助中部凸起
M012,F048,CONTRIBUTES,副反应产气辅助变形
M037,F066,CONTRIBUTES,满电产气辅助变形
M020,F066,CONTRIBUTES,满电时极片应力分布导致变形方向
M022,F082,CONTRIBUTES,高温电解液热分解辅助产气
M006,F082,CONTRIBUTES,正极催化电解液氧化辅助产气
M027,F082,CONTRIBUTES,电解液氧化分解辅助产气
M023,F082,CONTRIBUTES,SEI重构辅助产气
M037,F082,CONTRIBUTES,产气积累导致鼓气
M012,F086,CONTRIBUTES,副反应产气辅助膨胀
M028,F086,CONTRIBUTES,还原分解产气辅助膨胀
M037,F086,CONTRIBUTES,产气压力积累加剧膨胀
M012,F099,CONTRIBUTES,副反应产气辅助膨胀
M028,F099,CONTRIBUTES,还原分解产气辅助膨胀
M016,F099,CONTRIBUTES,低温析锂后金属锂反应产气
M037,F099,CONTRIBUTES,产气压力加剧膨胀OOF
M011,F103,CONTRIBUTES,负极膨胀辅助涨液
M037,F103,CONTRIBUTES,产气压力辅助涨液
M028,F103,CONTRIBUTES,还原分解产气辅助涨液
M021,F113,CONTRIBUTES,极限高温正极释氧加剧
M006,F113,CONTRIBUTES,正极催化电解液氧化
M012,F113,CONTRIBUTES,界面副反应产气
M027,F113,CONTRIBUTES,电解液氧化分解产气
M037,F113,CONTRIBUTES,产气积累导致鼓气
M022,F115,CONTRIBUTES,55℃电解液热分解辅助产气
M006,F115,CONTRIBUTES,正极催化电解液氧化
M027,F115,CONTRIBUTES,电解液氧化分解
M023,F115,CONTRIBUTES,SEI重构辅助产气
M037,F115,CONTRIBUTES,产气积累导致鼓气
M022,F144,CONTRIBUTES,45℃电解液热分解辅助产气
M006,F144,CONTRIBUTES,正极催化电解液氧化
M027,F144,CONTRIBUTES,电解液氧化分解
M023,F144,CONTRIBUTES,SEI重构辅助产气
M037,F144,CONTRIBUTES,产气积累导致鼓气
M012,F145,CONTRIBUTES,界面副反应产气
M021,F145,CONTRIBUTES,55℃正极释氧加剧
M006,F145,CONTRIBUTES,正极催化电解液氧化
M027,F145,CONTRIBUTES,电解液氧化分解
M037,F145,CONTRIBUTES,产气积累导致鼓气
M012,F152,CONTRIBUTES,副反应产气辅助鼓气
M037,F152,CONTRIBUTES,产气积累导致鼓气
M028,F152,CONTRIBUTES,还原分解产气辅助
