:START_ID,:END_ID,:TYPE,influence
M009,P074,INFLUENCED_BY,极耳厚度不足时疲劳寿命降低
M009,P073,INFLUENCED_BY,极耳宽度不足时应力集中加速疲劳
M009,P025,INFLUENCED_BY,负极箔材厚度决定抗疲劳能力
M009,P051,INFLUENCED_BY,正极箔材厚度决定铝箔抗疲劳能力
M009,P022,INFLUENCED_BY,负极箔材强度直接决定疲劳断裂阈值
M009,P077,INFLUENCED_BY,极耳金属长度影响振动时应力分布
M009,P038,INFLUENCED_BY,压实密度过高使极片刚性增大疲劳寿命降低
M009,P056,INFLUENCED_BY,正极压实密度过高增加铝箔疲劳风险
M010,P025,INFLUENCED_BY,铜箔厚度薄时溶解后更易结构失效
M010,P022,INFLUENCED_BY,箔材强度低时溶解后更易碎裂
M010,P114,INFLUENCED_BY,大电流充电导致局部低电位加速铜溶解
M010,P116,INFLUENCED_BY,充电上限电压过高间接导致负极局部过放铜溶解
M011,P029,INFLUENCED_BY,硅含量增加导致体积膨胀加剧
M011,P033,INFLUENCED_BY,下层硅含量影响整体膨胀应力
M011,P035,INFLUENCED_BY,整体硅占比决定综合膨胀程度
M011,P040,INFLUENCED_BY,负极延展性影响膨胀后应力释放
M011,P038,INFLUENCED_BY,压实密度过高使颗粒间膨胀应力增大
M018,P051,INFLUENCED_BY,铝箔厚度薄时腐蚀后更易断裂
M018,P116,INFLUENCED_BY,充电上限电压高加速铝箔电化学腐蚀
M018,P056,INFLUENCED_BY,正极压实密度过高使铝箔承受更大机械应力加剧腐蚀后断裂
M018,P050,INFLUENCED_BY,正极底涂配方影响铝箔表面保护层质量
M019,P024,INFLUENCED_BY,负极底涂配方决定粘结剂与铜箔的粘接强度
M019,P050,INFLUENCED_BY,正极底涂配方决定粘结剂与铝箔的粘接强度
M019,P049,INFLUENCED_BY,正极底涂CW影响涂层粘接力
M019,P038,INFLUENCED_BY,压实密度过高使粘结剂承受过大应力加速溶胀失效
M019,P056,INFLUENCED_BY,正极压实密度过高加剧粘结剂界面应力
M020,P038,INFLUENCED_BY,压实密度过高增加极片刚性应力
M020,P056,INFLUENCED_BY,正极压实密度过高导致铝箔内应力集中
M020,P041,INFLUENCED_BY,单双面压实比不均导致应力集中
M020,P040,INFLUENCED_BY,延展差异导致极片内应力分布不均
M020,P058,INFLUENCED_BY,正极延展性差导致辊压时应力集中
M020,P025,INFLUENCED_BY,负极箔材厚度不足时承受内应力能力差
M020,P051,INFLUENCED_BY,正极箔材厚度不足时承受内应力能力差
M025,P029,INFLUENCED_BY,硅含量高导致颗粒体积变化大加速破碎
M025,P033,INFLUENCED_BY,下层硅含量影响颗粒破碎程度
M025,P035,INFLUENCED_BY,整体硅占比越高颗粒破碎越严重
M025,P038,INFLUENCED_BY,压实密度过高使颗粒间挤压加剧破碎
M025,P056,INFLUENCED_BY,正极压实密度过高使正极颗粒也承受破碎风险
M026,P024,INFLUENCED_BY,负极底涂配方决定集流体界面粘接强度
M026,P050,INFLUENCED_BY,正极底涂配方决定正极集流体界面粘接
M026,P049,INFLUENCED_BY,正极底涂CW量影响涂覆均匀性和粘接力
M026,P038,INFLUENCED_BY,压实密度过高使活性层与集流体剪切应力增大
M026,P056,INFLUENCED_BY,正极压实密度过高加剧正极集流体界面剥离
M026,P040,INFLUENCED_BY,负极延展大时集流体与涂层变形不匹配易剥离
M026,P058,INFLUENCED_BY,正极延展使铝箔与涂层变形不匹配
M032,P074,INFLUENCED_BY,极耳厚度影响焊接点抗疲劳能力
M032,P073,INFLUENCED_BY,极耳宽度影响焊接面积和应力分布
M032,P071,INFLUENCED_BY,正极耳材质决定焊接点强度和抗疲劳性
M032,P072,INFLUENCED_BY,负极耳材质决定焊接点强度和抗疲劳性
M032,P077,INFLUENCED_BY,极耳金属长度影响振动力臂和焊接点应力
M032,P043,INFLUENCED_BY,AWG失重率反映焊接质量影响疲劳寿命
M032,P102,INFLUENCED_BY,TCO焊接方式决定焊接接头可靠性
