:START_ID,:END_ID,:TYPE,influence
P074,F042,DIRECTLY_AFFECTS,极耳厚度不足直接导致极耳振动断裂
P073,F042,DIRECTLY_AFFECTS,极耳宽度不足直接导致极耳应力集中断裂
P077,F042,DIRECTLY_AFFECTS,极耳金属长度过长直接增大振动力矩导致断裂
P022,F061,DIRECTLY_AFFECTS,负极箔材强度不足直接导致辊压断带
P025,F061,DIRECTLY_AFFECTS,负极箔材厚度不足直接导致辊压断带
P025,F073,DIRECTLY_AFFECTS,铜箔厚度不足直接导致循环后碎裂
P025,F089,DIRECTLY_AFFECTS,铜箔厚度不足直接导致循环后断裂
P022,F073,DIRECTLY_AFFECTS,箔材强度低直接导致铜箔碎裂
P022,F089,DIRECTLY_AFFECTS,箔材强度低直接导致铜箔断裂
P022,F129,DIRECTLY_AFFECTS,箔材强度本身不足直接表现为抗拉强度降低
P051,F060,DIRECTLY_AFFECTS,正极箔材厚度不足直接导致辊压断带
P051,F083,DIRECTLY_AFFECTS,铝箔厚度不足直接导致循环后断裂
P051,F105,DIRECTLY_AFFECTS,铝箔厚度不足直接导致制造过程翻折
P074,F108,DIRECTLY_AFFECTS,极耳厚度不足直接导致正极耳振动断裂
P074,F109,DIRECTLY_AFFECTS,极耳厚度不足直接导致正极软极耳断裂
P074,F110,DIRECTLY_AFFECTS,极耳厚度不足直接导致负极耳振动断裂
P074,F111,DIRECTLY_AFFECTS,极耳厚度不足直接导致负极软极耳断裂
P071,F108,DIRECTLY_AFFECTS,正极耳材质强度不足直接导致断裂
P071,F109,DIRECTLY_AFFECTS,正极耳材质不良直接导致软极耳断裂
P072,F110,DIRECTLY_AFFECTS,负极耳材质强度不足直接导致断裂
P072,F111,DIRECTLY_AFFECTS,负极耳材质不良直接导致软极耳断裂
P043,F126,DIRECTLY_AFFECTS,AWG失重率异常反映焊接质量差直接导致拉力不良
P102,F126,DIRECTLY_AFFECTS,TCO焊接方式不当直接导致焊接拉力不良
P077,F108,DIRECTLY_AFFECTS,极耳金属长度过长增大振动力臂直接导致正极耳断裂
P077,F110,DIRECTLY_AFFECTS,极耳金属长度过长增大振动力臂直接导致负极耳断裂
P056,F060,DIRECTLY_AFFECTS,正极压实密度过高直接导致辊压时铝箔断带
P038,F061,DIRECTLY_AFFECTS,负极压实密度过高直接导致辊压时铜箔断带
