:START_ID,:END_ID,:TYPE,description
F013,M001,SECONDARY_MECHANISM,边缘过电位不足辅助促进析锂
F013,M003,SECONDARY_MECHANISM,边缘区域扩散受限加剧局部极化
F013,M024,SECONDARY_MECHANISM,初始析锂后枝晶生长使问题恶化
F014,M002,SECONDARY_MECHANISM,两折区域同时存在电流密度不均
F014,M011,SECONDARY_MECHANISM,硅膨胀导致两折区域结构应力加剧
F014,M005,SECONDARY_MECHANISM,循环中SEI反复破裂消耗活性锂加剧析锂
F014,M039,SECONDARY_MECHANISM,分解产物堆积阻碍离子传输
F015,M004,SECONDARY_MECHANISM,胶纸边缘电解液浸润不良
F015,M003,SECONDARY_MECHANISM,胶纸区域离子扩散受限
F015,M005,SECONDARY_MECHANISM,SEI生长消耗活性锂使析锂恶化
F015,M015,SECONDARY_MECHANISM,边缘电解液优先耗尽加剧析锂
F018,M004,SECONDARY_MECHANISM,OH区域边缘浸润不良
F018,M001,SECONDARY_MECHANISM,OH区域过电位不足辅助析锂
F018,M015,SECONDARY_MECHANISM,OH边缘电解液优先耗尽
F019,M040,SECONDARY_MECHANISM,极耳位大电流浓度极化加剧
F019,M003,SECONDARY_MECHANISM,极耳位离子扩散受限
F019,M005,SECONDARY_MECHANISM,SEI反复破裂加剧月牙形析锂
F019,M024,SECONDARY_MECHANISM,析锂后枝晶生长扩展月牙形区域
F019,M039,SECONDARY_MECHANISM,分解产物堆积加剧离子传输受阻
F023,M002,SECONDARY_MECHANISM,交界处电流密度分布不均
F023,M011,SECONDARY_MECHANISM,硅膨胀导致交界处应力加剧
F023,M039,SECONDARY_MECHANISM,交界处产物堆积阻碍离子传输
F034,M040,SECONDARY_MECHANISM,叠片顶部大电流浓度极化
F034,M004,SECONDARY_MECHANISM,叠片顶部浸润不良
F034,M024,SECONDARY_MECHANISM,析锂后枝晶生长加剧
