mechId:ID,name,description,:LABEL
M001,锂离子沉积过电位不足,负极电位接近或低于锂沉积电位（0V vs. Li+/Li）导致金属锂在负极表面沉积,Mechanism
M002,局部电流密度集中,极片边缘、缺陷处或对齐不良区域的电流密度显著高于平均导致局部过电位过大,Mechanism
M003,离子扩散动力学受限,锂离子在电极材料固相或电解液中传输速率不足造成浓差极化,Mechanism
M004,电解液浸润不良,电极孔隙未被电解液充分填充形成高阻抗界面影响离子传输,Mechanism
M005,SEI持续生长消耗活性锂,循环中固体电解质界面（SEI）不断破裂和修复不可逆消耗活性锂离子,Mechanism
M011,负极体积膨胀应力,嵌锂过程中负极材料（特别是含硅材料）体积膨胀产生内应力,Mechanism
M015,电解液耗尽,长期循环中电解液被副反应不断消耗最终导致界面干涸阻抗急剧上升,Mechanism
M020,极片内应力集中,制造或循环过程中极片内部应力分布不均导致变形褶皱或开裂,Mechanism
M024,锂枝晶生长,析出的锂金属形成枝晶状结构可能刺穿隔膜导致内短路,Mechanism
M039,电解液分解产物堆积,电解液分解产生的固体产物在电极表面或隔膜孔隙中堆积阻塞离子通道,Mechanism
M040,锂离子浓度极化,高倍率下电极表面与体相锂离子浓度差异过大导致电位急剧变化,Mechanism
