:START_ID,:END_ID,:TYPE,description
F036,M012,PRIMARY_MECHANISM,高温储存时界面副反应产气是鼓气主因
F043,M011,PRIMARY_MECHANISM,常温循环中负极体积膨胀是膨胀失效主因
F044,M011,PRIMARY_MECHANISM,高温循环中负极体积膨胀是膨胀失效主因
F045,M011,PRIMARY_MECHANISM,循环中负极体积膨胀导致变形
F046,M037,PRIMARY_MECHANISM,产气压力积累超过外壳承压极限导致鼓包
F047,M011,PRIMARY_MECHANISM,浅充浅放中负极反复膨胀导致厚度恶化
F048,M011,PRIMARY_MECHANISM,循环膨胀使电芯中部凸起形成锅盖变形
F066,M011,PRIMARY_MECHANISM,满电状态下负极嵌锂膨胀导致变形
F082,M012,PRIMARY_MECHANISM,高温间隔循环中界面副反应产气导致鼓气
F086,M011,PRIMARY_MECHANISM,18℃循环中负极体积膨胀导致膨胀失效
F099,M011,PRIMARY_MECHANISM,低温循环中负极膨胀叠加析锂膨胀导致OOF
F103,M012,PRIMARY_MECHANISM,界面副反应产气和膨胀导致电芯涨液
F113,M022,PRIMARY_MECHANISM,极限高温下电解液热分解是鼓气主因
F115,M012,PRIMARY_MECHANISM,55℃长循环中界面副反应产气导致鼓气
F144,M012,PRIMARY_MECHANISM,45℃间隔循环中界面副反应产气导致鼓气
F145,M022,PRIMARY_MECHANISM,55℃高温间隔循环中电解液热分解是鼓气主因
F152,M016,PRIMARY_MECHANISM,析锂金属与电解液反应产气是鼓气主因
