:START_ID,:END_ID,:TYPE,description
P074,M009,INFLUENCES,极耳厚度不足时疲劳寿命降低
P073,M009,INFLUENCES,极耳宽度不足时应力集中加速疲劳
P025,M009,INFLUENCES,负极箔材厚度决定抗疲劳能力
P051,M009,INFLUENCES,正极箔材厚度决定铝箔抗疲劳能力
P022,M009,INFLUENCES,负极箔材强度直接决定疲劳断裂阈值
P077,M009,INFLUENCES,极耳金属长度影响振动时应力分布
P038,M009,INFLUENCES,压实密度过高使极片刚性增大疲劳寿命降低
P056,M009,INFLUENCES,正极压实密度过高增加铝箔疲劳风险
P025,M010,INFLUENCES,铜箔厚度薄时溶解后更易结构失效
P022,M010,INFLUENCES,箔材强度低时溶解后更易碎裂
P114,M010,INFLUENCES,大电流充电导致局部低电位加速铜溶解
P116,M010,INFLUENCES,充电上限电压过高间接导致负极局部过放铜溶解
P029,M011,INFLUENCES,硅含量增加导致体积膨胀加剧
P033,M011,INFLUENCES,下层硅含量影响整体膨胀应力
P035,M011,INFLUENCES,整体硅占比决定综合膨胀程度
P040,M011,INFLUENCES,负极延展性影响膨胀后应力释放
P038,M011,INFLUENCES,压实密度过高使颗粒间膨胀应力增大
P051,M018,INFLUENCES,铝箔厚度薄时腐蚀后更易断裂
P116,M018,INFLUENCES,充电上限电压高加速铝箔电化学腐蚀
P056,M018,INFLUENCES,正极压实密度过高使铝箔承受更大应力加剧腐蚀后断裂
P050,M018,INFLUENCES,正极底涂配方影响铝箔表面保护层质量
P024,M019,INFLUENCES,负极底涂配方决定粘结剂与铜箔的粘接强度
P050,M019,INFLUENCES,正极底涂配方决定粘结剂与铝箔的粘接强度
P049,M019,INFLUENCES,正极底涂CW影响涂层粘接力
P038,M019,INFLUENCES,压实密度过高使粘结剂承受过大应力加速溶胀失效
P056,M019,INFLUENCES,正极压实密度过高加剧粘结剂界面应力
P038,M020,INFLUENCES,压实密度过高增加极片刚性应力
P056,M020,INFLUENCES,正极压实密度过高导致铝箔内应力集中
P041,M020,INFLUENCES,单双面压实比不均导致应力集中
P040,M020,INFLUENCES,延展差异导致极片内应力分布不均
P058,M020,INFLUENCES,正极延展性差导致辊压时应力集中
P025,M020,INFLUENCES,负极箔材厚度不足时承受内应力能力差
P051,M020,INFLUENCES,正极箔材厚度不足时承受内应力能力差
P029,M025,INFLUENCES,硅含量高导致颗粒体积变化大加速破碎
P033,M025,INFLUENCES,下层硅含量影响颗粒破碎程度
P035,M025,INFLUENCES,整体硅占比越高颗粒破碎越严重
P038,M025,INFLUENCES,压实密度过高使颗粒间挤压加剧破碎
P056,M025,INFLUENCES,正极压实密度过高使正极颗粒也承受破碎风险
P024,M026,INFLUENCES,负极底涂配方决定集流体界面粘接强度
P050,M026,INFLUENCES,正极底涂配方决定正极集流体界面粘接
P049,M026,INFLUENCES,正极底涂CW量影响涂覆均匀性和粘接力
P038,M026,INFLUENCES,压实密度过高使活性层与集流体剪切应力增大
P056,M026,INFLUENCES,正极压实密度过高加剧正极集流体界面剥离
P040,M026,INFLUENCES,负极延展大时集流体与涂层变形不匹配易剥离
P058,M026,INFLUENCES,正极延展使铝箔与涂层变形不匹配
P074,M032,INFLUENCES,极耳厚度影响焊接点抗疲劳能力
P073,M032,INFLUENCES,极耳宽度影响焊接面积和应力分布
P071,M032,INFLUENCES,正极耳材质决定焊接点强度和抗疲劳性
P072,M032,INFLUENCES,负极耳材质决定焊接点强度和抗疲劳性
P077,M032,INFLUENCES,极耳金属长度影响振动力臂和焊接点应力
P043,M032,INFLUENCES,AWG失重率反映焊接质量影响疲劳寿命
P102,M032,INFLUENCES,TCO焊接方式决定焊接接头可靠性
