entityId:ID,name,entityType,detectTime,:LABEL
F_FRAC,机械断裂,失效模式(大类),一级分类,FailureMode
F042,极耳断裂,失效模式,检测时机:"振动测试",FailureMode
F060,正极辊压断带,失效模式,检测时机:"辊压过程",FailureMode
F061,负极辊压断带,失效模式,检测时机:"辊压过程",FailureMode
F073,铜箔碎裂,失效模式,检测时机:"循环拆解",FailureMode
F083,循环后铝箔断裂,失效模式,检测时机:"循环拆解",FailureMode
F089,循环后铜箔断裂,失效模式,检测时机:"循环拆解",FailureMode
F105,铝箔翻折,失效模式,检测时机:"制造过程",FailureMode
F108,正极耳断裂,失效模式,检测时机:"振动测试",FailureMode
F109,正极软极耳断裂,失效模式,检测时机:"振动测试",FailureMode
F110,负极耳断裂,失效模式,检测时机:"振动测试",FailureMode
F111,负极软极耳断裂,失效模式,检测时机:"振动测试",FailureMode
F126,焊接拉力不良,失效模式,检测时机:"焊接测试",FailureMode
F129,铜箔抗拉强度降低,失效模式,检测时机:"材料测试",FailureMode
