:START_ID,:END_ID,:TYPE,role
F042,M009,HAS_MECHANISM,主机理
F042,M032,HAS_MECHANISM,辅机理
F042,M011,HAS_MECHANISM,辅机理
F042,M020,HAS_MECHANISM,辅机理
F060,M020,HAS_MECHANISM,主机理
F060,M009,HAS_MECHANISM,辅机理
F060,M026,HAS_MECHANISM,辅机理
F060,M018,HAS_MECHANISM,辅机理
F061,M020,HAS_MECHANISM,主机理
F061,M009,HAS_MECHANISM,辅机理
F061,M011,HAS_MECHANISM,辅机理
F061,M026,HAS_MECHANISM,辅机理
F073,M009,HAS_MECHANISM,主机理
F073,M011,HAS_MECHANISM,辅机理
F073,M010,HAS_MECHANISM,辅机理
F073,M020,HAS_MECHANISM,辅机理
F083,M018,HAS_MECHANISM,主机理
F083,M009,HAS_MECHANISM,辅机理
F083,M020,HAS_MECHANISM,辅机理
F083,M011,HAS_MECHANISM,辅机理
F089,M009,HAS_MECHANISM,主机理
F089,M011,HAS_MECHANISM,辅机理
F089,M010,HAS_MECHANISM,辅机理
F089,M020,HAS_MECHANISM,辅机理
F105,M020,HAS_MECHANISM,主机理
F105,M009,HAS_MECHANISM,辅机理
F105,M018,HAS_MECHANISM,辅机理
F108,M009,HAS_MECHANISM,主机理
F108,M032,HAS_MECHANISM,辅机理
F108,M020,HAS_MECHANISM,辅机理
F108,M018,HAS_MECHANISM,辅机理
F109,M009,HAS_MECHANISM,主机理
F109,M032,HAS_MECHANISM,辅机理
F109,M020,HAS_MECHANISM,辅机理
F110,M009,HAS_MECHANISM,主机理
F110,M032,HAS_MECHANISM,辅机理
F110,M011,HAS_MECHANISM,辅机理
F110,M020,HAS_MECHANISM,辅机理
F111,M009,HAS_MECHANISM,主机理
F111,M032,HAS_MECHANISM,辅机理
F111,M011,HAS_MECHANISM,辅机理
F126,M032,HAS_MECHANISM,主机理
F126,M009,HAS_MECHANISM,辅机理
F126,M019,HAS_MECHANISM,辅机理
F129,M010,HAS_MECHANISM,主机理
F129,M009,HAS_MECHANISM,辅机理
F129,M011,HAS_MECHANISM,辅机理
F129,M025,HAS_MECHANISM,辅机理
F129,M020,HAS_MECHANISM,辅机理
