:START_ID,:END_ID,:TYPE,description
F036,M022,SECONDARY_MECHANISM,高温下电解液热分解辅助产气
F036,M006,SECONDARY_MECHANISM,正极催化电解液氧化辅助产气
F036,M023,SECONDARY_MECHANISM,高温SEI重构辅助产气
F036,M027,SECONDARY_MECHANISM,电解液氧化分解辅助产气
F036,M037,SECONDARY_MECHANISM,产气积累导致外壳变形
F043,M012,SECONDARY_MECHANISM,循环副反应产气辅助膨胀
F043,M028,SECONDARY_MECHANISM,电解液还原分解辅助产气膨胀
F043,M037,SECONDARY_MECHANISM,产气压力积累加剧膨胀
F043,M020,SECONDARY_MECHANISM,极片内应力不均加剧变形
F044,M012,SECONDARY_MECHANISM,高温副反应产气辅助膨胀
F044,M022,SECONDARY_MECHANISM,高温电解液分解辅助产气
F044,M006,SECONDARY_MECHANISM,高温正极催化电解液氧化
F044,M037,SECONDARY_MECHANISM,产气压力积累加剧膨胀
F044,M020,SECONDARY_MECHANISM,极片内应力加剧变形
F045,M020,SECONDARY_MECHANISM,极片内应力不均导致不规则变形
F045,M037,SECONDARY_MECHANISM,产气压力辅助变形
F045,M012,SECONDARY_MECHANISM,副反应产气辅助变形
F046,M011,SECONDARY_MECHANISM,负极膨胀辅助鼓包形成
F046,M012,SECONDARY_MECHANISM,副反应产气辅助压力积累
F046,M020,SECONDARY_MECHANISM,极片内应力分布不均决定鼓包位置
F047,M012,SECONDARY_MECHANISM,循环副反应产气辅助膨胀
F047,M028,SECONDARY_MECHANISM,电解液还原分解辅助产气
F047,M037,SECONDARY_MECHANISM,产气压力积累辅助膨胀恶化
F048,M020,SECONDARY_MECHANISM,极片内应力导致锅盖形变形
F048,M037,SECONDARY_MECHANISM,产气压力辅助中部凸起
F048,M012,SECONDARY_MECHANISM,副反应产气辅助变形
F066,M037,SECONDARY_MECHANISM,满电产气辅助变形
F066,M020,SECONDARY_MECHANISM,满电时极片应力分布导致变形方向
F082,M022,SECONDARY_MECHANISM,高温电解液热分解辅助产气
F082,M006,SECONDARY_MECHANISM,正极催化电解液氧化辅助产气
F082,M027,SECONDARY_MECHANISM,电解液氧化分解辅助产气
F082,M023,SECONDARY_MECHANISM,SEI重构辅助产气
F082,M037,SECONDARY_MECHANISM,产气积累导致鼓气
F086,M012,SECONDARY_MECHANISM,副反应产气辅助膨胀
F086,M028,SECONDARY_MECHANISM,还原分解产气辅助膨胀
F086,M037,SECONDARY_MECHANISM,产气压力积累加剧膨胀
F099,M012,SECONDARY_MECHANISM,副反应产气辅助膨胀
F099,M028,SECONDARY_MECHANISM,还原分解产气辅助膨胀
F099,M016,SECONDARY_MECHANISM,低温析锂后金属锂反应产气
F099,M037,SECONDARY_MECHANISM,产气压力加剧膨胀OOF
F103,M011,SECONDARY_MECHANISM,负极膨胀辅助涨液
F103,M037,SECONDARY_MECHANISM,产气压力辅助涨液
F103,M028,SECONDARY_MECHANISM,还原分解产气辅助涨液
F113,M021,SECONDARY_MECHANISM,极限高温正极释氧加剧
F113,M006,SECONDARY_MECHANISM,正极催化电解液氧化
F113,M012,SECONDARY_MECHANISM,界面副反应产气
F113,M027,SECONDARY_MECHANISM,电解液氧化分解产气
F113,M037,SECONDARY_MECHANISM,产气积累导致鼓气
F115,M022,SECONDARY_MECHANISM,55℃电解液热分解辅助产气
F115,M006,SECONDARY_MECHANISM,正极催化电解液氧化
F115,M027,SECONDARY_MECHANISM,电解液氧化分解

F115,M023,SECONDARY_MECHANISM,SEI重构辅助产气
F115,M037,SECONDARY_MECHANISM,产气积累导致鼓气
F144,M022,SECONDARY_MECHANISM,45℃电解液热分解辅助产气
F144,M006,SECONDARY_MECHANISM,正极催化电解液氧化
F144,M027,SECONDARY_MECHANISM,电解液氧化分解
F144,M023,SECONDARY_MECHANISM,SEI重构辅助产气
F144,M037,SECONDARY_MECHANISM,产气积累导致鼓气
F145,M012,SECONDARY_MECHANISM,界面副反应产气
F145,M021,SECONDARY_MECHANISM,55℃正极释氧加剧
F145,M006,SECONDARY_MECHANISM,正极催化电解液氧化
F145,M027,SECONDARY_MECHANISM,电解液氧化分解
F145,M037,SECONDARY_MECHANISM,产气积累导致鼓气
F152,M012,SECONDARY_MECHANISM,副反应产气辅助鼓气
F152,M037,SECONDARY_MECHANISM,产气积累导致鼓气
F152,M028,SECONDARY_MECHANISM,还原分解产气辅助
