:START_ID,:END_ID,:TYPE,description
P029,F043,DIRECTLY_AFFECTS,硅含量高直接导致常温循环膨胀加剧
P029,F044,DIRECTLY_AFFECTS,硅含量高直接导致高温循环膨胀加剧
P029,F045,DIRECTLY_AFFECTS,硅含量高直接导致循环变形
P029,F047,DIRECTLY_AFFECTS,硅含量高直接导致浅充浅放膨胀恶化
P029,F048,DIRECTLY_AFFECTS,硅含量高直接导致循环锅盖变形
P029,F066,DIRECTLY_AFFECTS,硅含量高直接导致满电变形
P029,F086,DIRECTLY_AFFECTS,硅含量高直接导致18℃循环膨胀
P029,F099,DIRECTLY_AFFECTS,硅含量高直接导致低温循环膨胀OOF
P035,F043,DIRECTLY_AFFECTS,整体硅占比高直接加剧常温循环膨胀
P035,F044,DIRECTLY_AFFECTS,整体硅占比高直接加剧高温循环膨胀
P035,F066,DIRECTLY_AFFECTS,整体硅占比高直接加剧满电变形
P078,F036,DIRECTLY_AFFECTS,铝塑膜厚度不足直接导致高温鼓气时外壳鼓包
P078,F046,DIRECTLY_AFFECTS,铝塑膜厚度不足直接导致顶底部鼓包
P078,F082,DIRECTLY_AFFECTS,铝塑膜厚度不足直接导致高温间隔循环鼓气
P078,F113,DIRECTLY_AFFECTS,铝塑膜厚度不足直接导致极限高温鼓气
P078,F115,DIRECTLY_AFFECTS,铝塑膜厚度不足直接导致55℃循环鼓气
P078,F144,DIRECTLY_AFFECTS,铝塑膜厚度不足直接导致45℃interval鼓气
P078,F145,DIRECTLY_AFFECTS,铝塑膜厚度不足直接导致55℃interval鼓气
P116,F036,DIRECTLY_AFFECTS,充电上限电压高直接加剧高温储存产气鼓气
P116,F082,DIRECTLY_AFFECTS,充电上限电压高直接加剧高温interval鼓气
P116,F113,DIRECTLY_AFFECTS,充电上限电压高直接加剧极限高温鼓气
P116,F115,DIRECTLY_AFFECTS,充电上限电压高直接加剧55℃循环鼓气
P116,F144,DIRECTLY_AFFECTS,充电上限电压高直接加剧45℃interval鼓气
P116,F145,DIRECTLY_AFFECTS,充电上限电压高直接加剧55℃interval鼓气
P113,F099,DIRECTLY_AFFECTS,NP比不足直接导致低温析锂后膨胀
P113,F152,DIRECTLY_AFFECTS,NP比不足直接导致析锂鼓气
P114,F099,DIRECTLY_AFFECTS,大电流充电直接加剧低温析锂后膨胀
P114,F152,DIRECTLY_AFFECTS,大电流充电直接加剧析锂导致鼓气
P067,F103,DIRECTLY_AFFECTS,注液量过多直接导致电芯涨液
P092,F043,DIRECTLY_AFFECTS,层数多直接导致膨胀累积加剧常温循环膨胀
P092,F044,DIRECTLY_AFFECTS,层数多直接导致膨胀累积加剧高温循环膨胀
P092,F046,DIRECTLY_AFFECTS,层数多直接导致膨胀累积产生顶底部鼓包
P105,F036,DIRECTLY_AFFECTS,水分控制不良直接加剧高温储存产气
P105,F113,DIRECTLY_AFFECTS,水分控制不良直接加剧极限高温储存鼓气
P066,F036,DIRECTLY_AFFECTS,电解液配方抗氧化性差直接导致高温储存鼓气
P066,F082,DIRECTLY_AFFECTS,电解液配方不良直接导致高温interval鼓气
P066,F113,DIRECTLY_AFFECTS,电解液配方不良直接导致极限高温鼓气
P066,F115,DIRECTLY_AFFECTS,电解液配方不良直接导致55℃循环鼓气
