entityId:ID,name,entityType,affectAttributes,:LABEL
P018,负极极片宽度,设计参数,"影响方向":"电流分布",DesignParam
P021,负极双面厚度_辊压后,设计参数,"影响方向":"离子扩散距离",DesignParam
P029,负极Si总含量_单层上层,设计参数,"影响方向":"容量/膨胀",DesignParam
P033,负极Si总含量_下层,设计参数,"影响方向":"容量/膨胀",DesignParam
P035,负极Si总占比_整体,设计参数,"影响方向":"综合性能",DesignParam
P038,负极压实密度,设计参数,"影响方向":"离子扩散/接触",DesignParam
P039,负极面密度,设计参数,"影响方向":"容量均匀性",DesignParam
P040,负极延展,设计参数,"影响方向":"尺寸变化",DesignParam
P041,负极单双面压实比,设计参数,"影响方向":"结构均匀性",DesignParam
P059,隔膜宽度,设计参数,"影响方向":"安全余量",DesignParam
P067,注液量_均值,设计参数,"影响方向":"界面润湿",DesignParam
P068,保液量_下限,设计参数,"影响方向":"循环寿命",DesignParam
P096,AC_OH,设计参数,"影响方向":"对齐精度",DesignParam
P097,SA_OH,设计参数,"影响方向":"对齐精度",DesignParam
P098,PJ_GAP,设计参数,"影响方向":"极片间隙",DesignParam
P099,PA_Gap,设计参数,"影响方向":"极片间隙",DesignParam
P113,负极过量_NP比,设计参数,"影响方向":"析锂风险",DesignParam
P114,充电电流,设计参数,"影响方向":"快充能力",DesignParam
P122,隔膜孔径,设计参数,"影响方向":"离子传输",DesignParam
