:START_ID,:END_ID,:TYPE,description
F042,M009,PRIMARY_MECHANISM,振动导致极耳反复应力最终疲劳断裂
F060,M020,PRIMARY_MECHANISM,辊压过程中铝箔内应力集中导致断带
F061,M020,PRIMARY_MECHANISM,辊压过程中铜箔内应力集中导致断带
F073,M009,PRIMARY_MECHANISM,循环反复膨胀收缩使铜箔疲劳碎裂
F083,M018,PRIMARY_MECHANISM,高电压电化学腐蚀削弱铝箔后循环断裂
F089,M009,PRIMARY_MECHANISM,循环反复膨胀收缩使铜箔疲劳断裂
F105,M020,PRIMARY_MECHANISM,制造过程中极片内应力不均导致铝箔翻折
F108,M009,PRIMARY_MECHANISM,振动导致正极耳反复应力疲劳断裂
F109,M009,PRIMARY_MECHANISM,振动导致正极软极耳疲劳断裂
F110,M009,PRIMARY_MECHANISM,振动导致负极耳反复应力疲劳断裂
F111,M009,PRIMARY_MECHANISM,振动导致负极软极耳疲劳断裂
F126,M032,PRIMARY_MECHANISM,焊接点承受反复应力导致拉力不良
F129,M010,PRIMARY_MECHANISM,铜箔溶解再沉积削弱铜箔机械强度
