:START_ID,:END_ID,:TYPE,description
P116,M006,INFLUENCES,充电上限电压越高正极氧化电解液越剧烈
P014,M006,INFLUENCES,充电限制电压高加速正极催化电解液氧化
P053,M006,INFLUENCES,正极配方决定催化电解液氧化的活性
P066,M006,INFLUENCES,电解液配方决定抗氧化分解能力
P067,M006,INFLUENCES,注液量大时可参与氧化的电解液总量更多
P029,M011,INFLUENCES,硅含量增加导致体积膨胀加剧
P033,M011,INFLUENCES,下层硅含量影响整体膨胀应力
P035,M011,INFLUENCES,整体硅占比决定综合膨胀程度
P040,M011,INFLUENCES,负极延展性影响膨胀后应力释放
P038,M011,INFLUENCES,压实密度过高使颗粒间膨胀应力增大
P039,M011,INFLUENCES,负极面密度越高膨胀绝对量越大
P021,M011,INFLUENCES,负极厚度越大膨胀绝对变形量越大
P092,M011,INFLUENCES,电芯层数越多膨胀累积越大
P066,M012,INFLUENCES,电解液配方决定副反应产气倾向
P117,M012,INFLUENCES,水分含量高加剧界面副反应产气
P105,M012,INFLUENCES,水分含量控制不良导致副反应产气增加
P116,M012,INFLUENCES,高电压加速界面副反应产气
P014,M012,INFLUENCES,充电限制电压高加剧界面副反应
P108,M012,INFLUENCES,化成温度影响初始SEI质量从而影响后续产气
P106,M012,INFLUENCES,陈化条件影响SEI稳定性从而影响产气
P067,M012,INFLUENCES,注液量影响副反应规模
P113,M016,INFLUENCES,NP比不足时析锂风险增大后续析锂产物反应产气
P114,M016,INFLUENCES,大电流充电导致析锂后金属锂与电解液反应产气
P038,M016,INFLUENCES,压实密度过高促进析锂从而增加析锂产物反应
P066,M016,INFLUENCES,电解液配方影响与析锂产物反应剧烈程度
P038,M020,INFLUENCES,压实密度过高增加极片刚性应力导致变形
P056,M020,INFLUENCES,正极压实密度过高导致极片内应力不均
P041,M020,INFLUENCES,单双面压实比不均导致应力集中变形
P040,M020,INFLUENCES,延展差异导致极片内应力分布不均
P079,M020,INFLUENCES,冲坑深度影响电芯内部空间约束和变形模式
P092,M020,INFLUENCES,层数多时各层应力累积导致整体变形
P053,M021,INFLUENCES,正极配方决定高温高压下释氧倾向
P116,M021,INFLUENCES,充电上限电压高加速正极释氧
P014,M021,INFLUENCES,充电限制电压高促进正极晶格释氧
P056,M021,INFLUENCES,正极压实密度影响颗粒间应力加剧释氧
P066,M022,INFLUENCES,电解液配方决定热分解温度和产气量
P117,M022,INFLUENCES,水分含量高降低电解液热稳定性
P105,M022,INFLUENCES,水分含量控制差降低电解液热稳定性
P067,M022,INFLUENCES,注液量多时高温分解产气总量更大
P108,M023,INFLUENCES,化成温度影响初始SEI质量决定后续重构程度
P106,M023,INFLUENCES,陈化条件不佳导致SEI不稳定更易重构产气
P066,M023,INFLUENCES,电解液配方影响SEI组分和重构时产气量
P116,M023,INFLUENCES,高电压加速SEI破坏和重构
P029,M023,INFLUENCES,硅含量高导致体积变化大SEI反复重构产气
P035,M023,INFLUENCES,整体硅占比高加剧SEI反复重构
P116,M027,INFLUENCES,充电上限电压高直接加速电解液氧化分解
P014,M027,INFLUENCES,充电限制电压高促进电解液氧化
P066,M027,INFLUENCES,电解液配方决定氧化分解电位和产气量
P053,M027,INFLUENCES,正极配方影响界面催化氧化分解
P056,M027,INFLUENCES,正极压实密度高使局部电位不均加速氧化
P066,M028,INFLUENCES,电解液配方决定还原分解电位和产气量
P038,M028,INFLUENCES,负极压实密度过高使局部电位异常促进还原分解
P114,M028,INFLUENCES,大电流充电使负极电位过低加速还原分解
P113,M028,INFLUENCES,NP比不足时负极电位更低加速还原分解产气
P108,M028,INFLUENCES,化成温度影响初始SEI质量决定后续还原分解程度
P106,M028,INFLUENCES,陈化条件不佳使SEI不稳定后续还原分解增多
P078,M037,INFLUENCES,铝塑膜厚度决定承受内部压力的极限
P079,M037,INFLUENCES,冲坑深度影响内部空间和压力分布
P092,M037,INFLUENCES,层数多时膨胀和产气累积压力更大
P047,M037,INFLUENCES,正极厚度影响整体膨胀量和压力积累
P021,M037,INFLUENCES,负极厚度影响整体膨胀量和压力积累
P057,M037,INFLUENCES,正极面密度高增加膨胀产气总量
P039,M037,INFLUENCES,负极面密度高增加膨胀产气总量
