:START_ID,:END_ID,:TYPE,description
M012,F036,CAUSES,高温储存时界面副反应产气是鼓气主因
M011,F043,CAUSES,常温循环中负极体积膨胀是膨胀失效主因
M011,F044,CAUSES,高温循环中负极体积膨胀是膨胀失效主因
M011,F045,CAUSES,循环中负极体积膨胀导致变形
M037,F046,CAUSES,产气压力积累超过外壳承压极限导致鼓包
M011,F047,CAUSES,浅充浅放中负极反复膨胀导致厚度恶化
M011,F048,CAUSES,循环膨胀使电芯中部凸起形成锅盖变形
M011,F066,CAUSES,满电状态下负极嵌锂膨胀导致变形
M012,F082,CAUSES,高温间隔循环中界面副反应产气导致鼓气
M011,F086,CAUSES,18℃循环中负极体积膨胀导致膨胀失效
M011,F099,CAUSES,低温循环中负极膨胀叠加析锂膨胀导致OOF
M012,F103,CAUSES,界面副反应产气和膨胀导致电芯涨液
M022,F113,CAUSES,极限高温下电解液热分解是鼓气主因
M012,F115,CAUSES,55℃长循环中界面副反应产气导致鼓气
M012,F144,CAUSES,45℃间隔循环中界面副反应产气导致鼓气
M022,F145,CAUSES,55℃高温间隔循环中电解液热分解是鼓气主因
M016,F152,CAUSES,析锂金属与电解液反应产气是鼓气主因
