:START_ID,:END_ID,:TYPE,description
F042,M032,SECONDARY_MECHANISM,焊接点疲劳辅助导致极耳断裂
F042,M011,SECONDARY_MECHANISM,负极膨胀产生的周期性应力加速极耳疲劳
F042,M020,SECONDARY_MECHANISM,极片内应力传递至极耳根部
F060,M009,SECONDARY_MECHANISM,辊压过程中反复张力导致疲劳
F060,M026,SECONDARY_MECHANISM,集流体与涂层剥离降低整体强度
F060,M018,SECONDARY_MECHANISM,铝箔若已有腐蚀则更易断带
F061,M009,SECONDARY_MECHANISM,辊压过程中反复张力导致疲劳
F061,M011,SECONDARY_MECHANISM,含硅负极膨胀应力加剧铜箔受力
F061,M026,SECONDARY_MECHANISM,集流体与涂层剥离降低整体强度
F073,M011,SECONDARY_MECHANISM,硅膨胀反复应力加速铜箔碎裂
F073,M010,SECONDARY_MECHANISM,铜溶解削弱铜箔结构完整性
F073,M020,SECONDARY_MECHANISM,极片内应力不均加速局部碎裂
F083,M009,SECONDARY_MECHANISM,循环膨胀收缩产生疲劳应力
F083,M020,SECONDARY_MECHANISM,极片内应力集中加速铝箔断裂
F083,M011,SECONDARY_MECHANISM,负极膨胀传递应力至相邻铝箔
F089,M011,SECONDARY_MECHANISM,硅膨胀反复应力加速铜箔断裂
F089,M010,SECONDARY_MECHANISM,铜溶解削弱铜箔结构后更易断裂
F089,M020,SECONDARY_MECHANISM,极片内应力不均加速断裂
F105,M009,SECONDARY_MECHANISM,制造张力波动导致局部疲劳翻折
F105,M018,SECONDARY_MECHANISM,铝箔腐蚀降低韧性更易翻折
F108,M032,SECONDARY_MECHANISM,焊接点疲劳辅助正极耳断裂
F108,M020,SECONDARY_MECHANISM,极片应力传递至极耳
F108,M018,SECONDARY_MECHANISM,铝材腐蚀降低正极耳强度
F109,M032,SECONDARY_MECHANISM,焊接点疲劳辅助正极软极耳断裂
F109,M020,SECONDARY_MECHANISM,极片应力传递至软极耳
F110,M032,SECONDARY_MECHANISM,焊接点疲劳辅助负极耳断裂
F110,M011,SECONDARY_MECHANISM,负极膨胀应力传递至负极耳
F110,M020,SECONDARY_MECHANISM,极片应力传递至极耳
F111,M032,SECONDARY_MECHANISM,焊接点疲劳辅助负极软极耳断裂
F111,M011,SECONDARY_MECHANISM,负极膨胀应力传递至软极耳
F126,M009,SECONDARY_MECHANISM,振动疲劳辅助焊接拉力衰减
F126,M019,SECONDARY_MECHANISM,粘结剂失效降低界面连接强度
F129,M009,SECONDARY_MECHANISM,疲劳加速铜箔强度衰退
F129,M011,SECONDARY_MECHANISM,膨胀应力反复作用降低铜箔强度
F129,M025,SECONDARY_MECHANISM,颗粒破碎产生的碎片损伤铜箔
F129,M020,SECONDARY_MECHANISM,极片内应力导致铜箔微裂纹扩展
