entityId:ID,name,entityType,detectTime,:LABEL
F036,高温储存鼓气,失效模式,检测时机:"高温存储后",FailureMode
F043,常温循环膨胀失效,失效模式,检测时机:"循环后",FailureMode
F044,45℃循环膨胀失效,失效模式,检测时机:"高温循环后",FailureMode
F045,循环变形,失效模式,检测时机:"循环后",FailureMode
F046,电芯顶底部出现鼓包,失效模式,检测时机:"满电状态",FailureMode
F047,浅充浅放厚度膨胀恶化,失效模式,检测时机:"循环后",FailureMode
F048,循环锅盖变形,失效模式,检测时机:"循环后",FailureMode
F066,满电变形,失效模式,检测时机:"满电状态",FailureMode
F082,高温Interval循环鼓气,失效模式,检测时机:"高温间隔循环",FailureMode
F086,18℃循环膨胀失效,失效模式,检测时机:"中温循环",FailureMode
F099,12℃循环膨胀OOF,失效模式,检测时机:"低温循环",FailureMode
F103,电芯涨液,失效模式,检测时机:"满电状态",FailureMode
F113,极限高温储存鼓气,失效模式,检测时机:"极限高温存储",FailureMode
F115,55℃循环400T鼓气,失效模式,检测时机:"高温循环",FailureMode
F144,45℃高温interval鼓气,失效模式,检测时机:"高温间隔循环",FailureMode
F145,55℃高温interval鼓气,失效模式,检测时机:"高温间隔循环",FailureMode
F152,析锂导致鼓气,失效模式,检测时机:"析锂后存储",FailureMode
