mechId:ID,name,description,:LABEL
M006,正极与电解液氧化还原反应,高电压下正极材料催化电解液溶剂氧化分解产气产热,Mechanism
M011,负极体积膨胀应力,嵌锂过程中负极材料（特别是含硅材料）体积膨胀产生内应力,Mechanism
M012,界面副反应产气,多种界面化学反应（如电解液分解、水分反应等）产生CO₂、C₂H₄等气体,Mechanism
M016,析锂产物与电解液反应,沉积的金属锂与电解液剧烈反应产热产气可能引发热失控,Mechanism
M020,极片内应力集中,制造或循环过程中极片内部应力分布不均导致变形、褶皱或开裂,Mechanism
M021,正极释氧反应,高电压或高温下正极材料晶格释放氧气加剧电解液氧化,Mechanism
M022,电解液热分解,高温下电解液组分发生热分解反应产气产热,Mechanism
M023,SEI重构过程,高温或高电压下原有SEI破坏重新形成更厚或不稳定的SEI膜,Mechanism
M027,电解液氧化分解,电解液在高电压下发生氧化反应生成气体和固体产物,Mechanism
M028,电解液还原分解,电解液在低电位下（如负极表面）发生还原反应消耗活性锂并生成SEI,Mechanism
M037,产气压力积累,内部产气导致压力升高当超过外壳承受极限时发生鼓包或变形,Mechanism
