:START_ID,:END_ID,:TYPE,influence
P113,F013,DIRECTLY_AFFECTS,NP比不足直接导致极片边缘析锂风险
P113,F014,DIRECTLY_AFFECTS,NP比不足时尾部两折区域更易析锂
P113,F015,DIRECTLY_AFFECTS,NP比不足时胶纸边缘区域析锂风险增大
P113,F018,DIRECTLY_AFFECTS,NP比不足时OH边缘析锂风险增大
P113,F019,DIRECTLY_AFFECTS,NP比不足时极耳位月牙形析锂风险增大
P113,F023,DIRECTLY_AFFECTS,NP比不足时单双面交界处析锂加剧
P113,F034,DIRECTLY_AFFECTS,NP比不足时叠片顶部边缘析锂风险增大
P096,F018,DIRECTLY_AFFECTS,AC_OH对齐偏差直接导致OH边缘析锂
P097,F018,DIRECTLY_AFFECTS,SA_OH对齐偏差直接导致OH边缘析锂
P098,F013,DIRECTLY_AFFECTS,PJ_GAP过小直接导致极片边缘析锂
P099,F013,DIRECTLY_AFFECTS,PA_Gap过小直接导致极片边缘析锂
P041,F023,DIRECTLY_AFFECTS,单双面压实比不均直接导致交界处析锂
P096,F034,DIRECTLY_AFFECTS,AC_OH偏差直接导致叠片顶部边缘析锂
P114,F013,DIRECTLY_AFFECTS,大电流充电直接加剧极片边缘析锂
P114,F019,DIRECTLY_AFFECTS,大电流充电直接导致极耳位边缘月牙形析锂
P114,F034,DIRECTLY_AFFECTS,大电流充电直接加剧叠片顶部边缘析锂
P044,F013,DIRECTLY_AFFECTS,正极极片宽度与负极不匹配直接导致边缘析锂
P044,F034,DIRECTLY_AFFECTS,正极宽度偏差直接影响叠片顶部边缘对齐导致析锂
