entityId:ID,name,entityType,affectAttributes,:LABEL
P022,负极箔材强度,设计参数,影响方向:机械可靠性,DesignParam
P024,负极底涂配方,设计参数,影响方向:界面粘接,DesignParam
P025,负极箔材厚度,设计参数,影响方向:重量/机械强度,DesignParam
P029,负极Si总含量_单层上层,设计参数,影响方向:容量/膨胀,DesignParam
P033,负极Si总含量_下层,设计参数,影响方向:容量/膨胀,DesignParam
P035,负极Si总占比_整体,设计参数,影响方向:综合性能,DesignParam
P038,负极压实密度,设计参数,影响方向:离子扩散/接触,DesignParam
P040,负极延展,设计参数,影响方向:尺寸变化,DesignParam
P041,负极单双面压实比,设计参数,影响方向:结构均匀性,DesignParam
P043,AWG_失重率,设计参数,影响方向:焊接质量,DesignParam
P049,正极底涂CW,设计参数,影响方向:界面粘接,DesignParam
P050,正极底涂配方,设计参数,影响方向:界面粘接,DesignParam
P051,正极箔材厚度,设计参数,影响方向:重量/机械强度,DesignParam
P056,正极压实密度,设计参数,影响方向:离子扩散/接触,DesignParam
P058,正极延展,设计参数,影响方向:尺寸变化,DesignParam
P071,材质_正极耳,设计参数,影响方向:电导率/耐腐蚀,DesignParam
P072,材质_负极耳,设计参数,影响方向:电导率/耐腐蚀,DesignParam
P073,极耳宽度,设计参数,影响方向:电流承载,DesignParam
P074,极耳厚度,设计参数,影响方向:机械强度,DesignParam
P077,极耳金属长度,设计参数,影响方向:焊接可靠性,DesignParam
P102,TCO焊接方式,设计参数,影响方向:连接可靠性,DesignParam
P114,充电电流,设计参数,影响方向:快充能力,DesignParam
P116,充电上限电压,设计参数,影响方向:能量密度/安全性,DesignParam
