:START_ID,:END_ID,:TYPE,description
M032,F042,CONTRIBUTES,焊接点疲劳辅助导致极耳断裂
M011,F042,CONTRIBUTES,负极膨胀产生的周期性应力加速极耳疲劳
M020,F042,CONTRIBUTES,极片内应力传递至极耳根部
M009,F060,CONTRIBUTES,辊压过程中反复张力导致疲劳
M026,F060,CONTRIBUTES,集流体与涂层剥离降低整体强度
M018,F060,CONTRIBUTES,铝箔若已有腐蚀则更易断带
M009,F061,CONTRIBUTES,辊压过程中反复张力导致疲劳
M011,F061,CONTRIBUTES,含硅负极膨胀应力加剧铜箔受力
M026,F061,CONTRIBUTES,集流体与涂层剥离降低整体强度
M011,F073,CONTRIBUTES,硅膨胀反复应力加速铜箔碎裂
M010,F073,CONTRIBUTES,铜溶解削弱铜箔结构完整性
M020,F073,CONTRIBUTES,极片内应力不均加速局部碎裂
M009,F083,CONTRIBUTES,循环膨胀收缩产生疲劳应力
M020,F083,CONTRIBUTES,极片内应力集中加速铝箔断裂
M011,F083,CONTRIBUTES,负极膨胀传递应力至相邻铝箔
M011,F089,CONTRIBUTES,硅膨胀反复应力加速铜箔断裂
M010,F089,CONTRIBUTES,铜溶解削弱铜箔结构后更易断裂
M020,F089,CONTRIBUTES,极片内应力不均加速断裂
M009,F105,CONTRIBUTES,制造张力波动导致局部疲劳翻折
M018,F105,CONTRIBUTES,铝箔腐蚀降低韧性更易翻折
M032,F108,CONTRIBUTES,焊接点疲劳辅助正极耳断裂
M020,F108,CONTRIBUTES,极片应力传递至极耳
M018,F108,CONTRIBUTES,铝材腐蚀降低正极耳强度
M032,F109,CONTRIBUTES,焊接点疲劳辅助正极软极耳断裂
M020,F109,CONTRIBUTES,极片应力传递至软极耳
M032,F110,CONTRIBUTES,焊接点疲劳辅助负极耳断裂
M011,F110,CONTRIBUTES,负极膨胀应力传递至负极耳
M020,F110,CONTRIBUTES,极片应力传递至极耳
M032,F111,CONTRIBUTES,焊接点疲劳辅助负极软极耳断裂
M011,F111,CONTRIBUTES,负极膨胀应力传递至软极耳
M009,F126,CONTRIBUTES,振动疲劳辅助焊接拉力衰减
M019,F126,CONTRIBUTES,粘结剂失效降低界面连接强度
M009,F129,CONTRIBUTES,疲劳加速铜箔强度衰退
M011,F129,CONTRIBUTES,膨胀应力反复作用降低铜箔强度
M025,F129,CONTRIBUTES,颗粒破碎产生的碎片损伤铜箔
M020,F129,CONTRIBUTES,极片内应力导致铜箔微裂纹扩展
