:START_ID,:END_ID,:TYPE,role
F036,M012,HAS_MECHANISM,主机理
F036,M022,HAS_MECHANISM,辅机理
F036,M006,HAS_MECHANISM,辅机理
F036,M023,HAS_MECHANISM,辅机理
F036,M027,HAS_MECHANISM,辅机理
F036,M037,HAS_MECHANISM,辅机理
F043,M011,HAS_MECHANISM,主机理
F043,M012,HAS_MECHANISM,辅机理
F043,M028,HAS_MECHANISM,辅机理
F043,M037,HAS_MECHANISM,辅机理
F043,M020,HAS_MECHANISM,辅机理
F044,M011,HAS_MECHANISM,主机理
F044,M012,HAS_MECHANISM,辅机理
F044,M022,HAS_MECHANISM,辅机理
F044,M006,HAS_MECHANISM,辅机理
F044,M037,HAS_MECHANISM,辅机理
F044,M020,HAS_MECHANISM,辅机理
F045,M011,HAS_MECHANISM,主机理
F045,M020,HAS_MECHANISM,辅机理
F045,M037,HAS_MECHANISM,辅机理
F045,M012,HAS_MECHANISM,辅机理
F046,M037,HAS_MECHANISM,主机理
F046,M011,HAS_MECHANISM,辅机理
F046,M012,HAS_MECHANISM,辅机理
F046,M020,HAS_MECHANISM,辅机理
F047,M011,HAS_MECHANISM,主机理
F047,M012,HAS_MECHANISM,辅机理
F047,M028,HAS_MECHANISM,辅机理
F047,M037,HAS_MECHANISM,辅机理
F048,M011,HAS_MECHANISM,主机理
F048,M020,HAS_MECHANISM,辅机理
F048,M037,HAS_MECHANISM,辅机理
F048,M012,HAS_MECHANISM,辅机理
F066,M011,HAS_MECHANISM,主机理
F066,M037,HAS_MECHANISM,辅机理
F066,M020,HAS_MECHANISM,辅机理
F082,M012,HAS_MECHANISM,主机理
F082,M022,HAS_MECHANISM,辅机理
F082,M006,HAS_MECHANISM,辅机理
F082,M027,HAS_MECHANISM,辅机理
F082,M023,HAS_MECHANISM,辅机理
F082,M037,HAS_MECHANISM,辅机理
F086,M011,HAS_MECHANISM,主机理
F086,M012,HAS_MECHANISM,辅机理
F086,M028,HAS_MECHANISM,辅机理
F086,M037,HAS_MECHANISM,辅机理
F099,M011,HAS_MECHANISM,主机理
F099,M012,HAS_MECHANISM,辅机理
F099,M028,HAS_MECHANISM,辅机理
F099,M016,HAS_MECHANISM,辅机理
F099,M037,HAS_MECHANISM,辅机理
F103,M012,HAS_MECHANISM,主机理
F103,M011,HAS_MECHANISM,辅机理
F103,M037,HAS_MECHANISM,辅机理
F103,M028,HAS_MECHANISM,辅机理
F113,M022,HAS_MECHANISM,主机理
F113,M021,HAS_MECHANISM,辅机理
F113,M006,HAS_MECHANISM,辅机理
F113,M012,HAS_MECHANISM,辅机理
F113,M027,HAS_MECHANISM,辅机理
F113,M037,HAS_MECHANISM,辅机理
F115,M012,HAS_MECHANISM,主机理
F115,M022,HAS_MECHANISM,辅机理
F115,M006,HAS_MECHANISM,辅机理
F115,M027,HAS_MECHANISM,辅机理
F115,M023,HAS_MECHANISM,辅机理
F115,M037,HAS_MECHANISM,辅机理
F144,M012,HAS_MECHANISM,主机理
F144,M022,HAS_MECHANISM,辅机理
F144,M006,HAS_MECHANISM,辅机理
F144,M027,HAS_MECHANISM,辅机理
F144,M023,HAS_MECHANISM,辅机理
F144,M037,HAS_MECHANISM,辅机理
F145,M022,HAS_MECHANISM,主机理
F145,M012,HAS_MECHANISM,辅机理
F145,M021,HAS_MECHANISM,辅机理
F145,M006,HAS_MECHANISM,辅机理
F145,M027,HAS_MECHANISM,辅机理
F145,M037,HAS_MECHANISM,辅机理
F152,M016,HAS_MECHANISM,主机理
F152,M012,HAS_MECHANISM,辅机理
F152,M037,HAS_MECHANISM,辅机理
F152,M028,HAS_MECHANISM,辅机理
