:START_ID,:END_ID,:TYPE,influence
M001,P113,INFLUENCED_BY,NP比不足时负极过电位降低导致析锂电位
M001,P114,INFLUENCED_BY,充电电流过大导致负极电位快速下降
M001,P038,INFLUENCED_BY,压实密度过高限制锂离子嵌入动力学
M002,P018,INFLUENCED_BY,极片宽度决定边缘电流分布均匀性
M002,P096,INFLUENCED_BY,AC_OH对齐精度影响边缘电流密度
M002,P097,INFLUENCED_BY,SA_OH对齐精度影响边缘电流密度
M002,P098,INFLUENCED_BY,PJ_GAP间隙影响边缘区域电流集中
M002,P099,INFLUENCED_BY,PA_Gap间隙影响极片边缘电流分布
M002,P059,INFLUENCED_BY,隔膜宽度余量不足时边缘离子传输路径异常
M003,P038,INFLUENCED_BY,压实密度过高使固相扩散路径增长
M003,P021,INFLUENCED_BY,极片厚度增大使锂离子扩散距离增加
M003,P122,INFLUENCED_BY,隔膜孔径影响离子传输通道
M003,P039,INFLUENCED_BY,面密度过高增加扩散距离
M004,P067,INFLUENCED_BY,注液量不足导致边缘区域浸润不良
M004,P068,INFLUENCED_BY,保液量不足导致循环后边缘干涸
M004,P038,INFLUENCED_BY,压实密度过高使孔隙率下降电解液难渗透
M011,P029,INFLUENCED_BY,硅含量增加导致体积膨胀加剧
M011,P033,INFLUENCED_BY,下层硅含量影响整体膨胀应力
M011,P035,INFLUENCED_BY,整体硅占比决定综合膨胀程度
M011,P040,INFLUENCED_BY,负极延展性影响膨胀后应力释放
M020,P041,INFLUENCED_BY,单双面压实比不均导致应力集中
M020,P040,INFLUENCED_BY,延展差异导致极片内应力分布不均
M020,P038,INFLUENCED_BY,压实密度过高增加极片刚性应力
M040,P114,INFLUENCED_BY,大电流充电加剧表面浓度极化
M040,P021,INFLUENCED_BY,厚极片使体相与表面浓度差增大
M040,P039,INFLUENCED_BY,高面密度增加浓差极化程度
