:START_ID,:END_ID,:TYPE,description
M001,F013,CONTRIBUTES,边缘过电位不足辅助促进析锂
M003,F013,CONTRIBUTES,边缘区域扩散受限加剧局部极化
M024,F013,CONTRIBUTES,初始析锂后枝晶生长使问题恶化
M002,F014,CONTRIBUTES,两折区域同时存在电流密度不均
M011,F014,CONTRIBUTES,硅膨胀导致两折区域结构应力加剧
M005,F014,CONTRIBUTES,循环中SEI反复破裂消耗活性锂加剧析锂
M039,F014,CONTRIBUTES,分解产物堆积阻碍离子传输
M004,F015,CONTRIBUTES,胶纸边缘电解液浸润不良
M003,F015,CONTRIBUTES,胶纸区域离子扩散受限
M005,F015,CONTRIBUTES,SEI生长消耗活性锂使析锂恶化
M015,F015,CONTRIBUTES,边缘电解液优先耗尽加剧析锂
M004,F018,CONTRIBUTES,OH区域边缘浸润不良
M001,F018,CONTRIBUTES,OH区域过电位不足辅助析锂
M015,F018,CONTRIBUTES,OH边缘电解液优先耗尽
M040,F019,CONTRIBUTES,极耳位大电流浓度极化加剧
M003,F019,CONTRIBUTES,极耳位离子扩散受限
M005,F019,CONTRIBUTES,SEI反复破裂加剧月牙形析锂
M024,F019,CONTRIBUTES,析锂后枝晶生长扩展月牙形区域
M039,F019,CONTRIBUTES,分解产物堆积加剧离子传输受阻
M002,F023,CONTRIBUTES,交界处电流密度分布不均
M011,F023,CONTRIBUTES,硅膨胀导致交界处应力加剧
M039,F023,CONTRIBUTES,交界处产物堆积阻碍离子传输
M040,F034,CONTRIBUTES,叠片顶部大电流浓度极化
M004,F034,CONTRIBUTES,叠片顶部浸润不良
M024,F034,CONTRIBUTES,析锂后枝晶生长加剧
