:START_ID,:END_ID,:TYPE,description
P113,M001,INFLUENCES,NP比不足时负极过电位降低导致析锂电位
P114,M001,INFLUENCES,充电电流过大导致负极电位快速下降
P038,M001,INFLUENCES,压实密度过高限制锂离子嵌入动力学
P037,M001,INFLUENCES,负极克容量过高时接收锂离子能力不足易析锂
P018,M002,INFLUENCES,极片宽度决定边缘电流分布均匀性
P044,M002,INFLUENCES,正极极片宽度与负极配合决定边缘对齐电流分布
P096,M002,INFLUENCES,AC_OH对齐精度影响边缘电流密度
P097,M002,INFLUENCES,SA_OH对齐精度影响边缘电流密度
P098,M002,INFLUENCES,PJ_GAP间隙影响边缘区域电流集中
P099,M002,INFLUENCES,PA_Gap间隙影响极片边缘电流分布
P059,M002,INFLUENCES,隔膜宽度余量不足时边缘离子传输路径异常
P038,M003,INFLUENCES,压实密度过高使固相扩散路径增长
P021,M003,INFLUENCES,极片厚度增大使锂离子扩散距离增加
P122,M003,INFLUENCES,隔膜孔径影响离子传输通道
P039,M003,INFLUENCES,面密度过高增加扩散距离
P061,M003,INFLUENCES,隔膜厚度增大增加离子传输阻抗
P067,M004,INFLUENCES,注液量不足导致边缘区域浸润不良
P068,M004,INFLUENCES,保液量不足导致循环后边缘干涸
P038,M004,INFLUENCES,压实密度过高使孔隙率下降电解液难渗透
P064,M004,INFLUENCES,隔膜涂层厚度影响边缘区域浸润均匀性
P107,M004,INFLUENCES,化成压力不足影响初始界面浸润均匀性
P029,M005,INFLUENCES,硅含量高导致体积变化大SEI反复破裂修复
P033,M005,INFLUENCES,下层硅含量影响SEI破裂程度
P035,M005,INFLUENCES,整体硅占比越高SEI生长消耗活性锂越多
P114,M005,INFLUENCES,大电流充电加剧SEI破裂和重建
P038,M005,INFLUENCES,压实密度过高使颗粒间应力增大加剧SEI破裂
P029,M011,INFLUENCES,硅含量增加导致体积膨胀加剧
P033,M011,INFLUENCES,下层硅含量影响整体膨胀应力
P035,M011,INFLUENCES,整体硅占比决定综合膨胀程度
P040,M011,INFLUENCES,负极延展性影响膨胀后应力释放
P067,M015,INFLUENCES,初始注液量不足加速电解液耗尽
P068,M015,INFLUENCES,保液量低导致循环后电解液更快耗尽
P038,M015,INFLUENCES,压实密度过高减少孔隙内电解液储量
P041,M020,INFLUENCES,单双面压实比不均导致应力集中
P040,M020,INFLUENCES,延展差异导致极片内应力分布不均
P038,M020,INFLUENCES,压实密度过高增加极片刚性应力
P113,M024,INFLUENCES,NP比不足时析锂量增大更易形成枝晶
P114,M024,INFLUENCES,大电流充电加剧锂沉积不均匀促进枝晶生长
P038,M024,INFLUENCES,压实密度过高使锂沉积不均匀促进枝晶形核
P067,M039,INFLUENCES,注液量不足时分解产物浓度更高更易堆积
P068,M039,INFLUENCES,保液量低导致产物无法有效稀释而堆积
P122,M039,INFLUENCES,隔膜孔径小时更易被分解产物堵塞
P114,M040,INFLUENCES,大电流充电加剧表面浓度极化
P021,M040,INFLUENCES,厚极片使体相与表面浓度差增大
P039,M040,INFLUENCES,高面密度增加浓差极化程度
