:START_ID,:END_ID,:TYPE,influence
M006,P116,INFLUENCED_BY,充电上限电压越高正极氧化电解液越剧烈
M006,P014,INFLUENCED_BY,充电限制电压高加速正极催化电解液氧化
M006,P053,INFLUENCED_BY,正极配方决定催化电解液氧化的活性
M006,P066,INFLUENCED_BY,电解液配方决定抗氧化分解能力
M006,P067,INFLUENCED_BY,注液量大时可参与氧化的电解液总量更多
M011,P029,INFLUENCED_BY,硅含量增加导致体积膨胀加剧
M011,P033,INFLUENCED_BY,下层硅含量影响整体膨胀应力
M011,P035,INFLUENCED_BY,整体硅占比决定综合膨胀程度
M011,P040,INFLUENCED_BY,负极延展性影响膨胀后应力释放
M011,P038,INFLUENCED_BY,压实密度过高使颗粒间膨胀应力增大
M011,P039,INFLUENCED_BY,负极面密度越高膨胀绝对量越大
M011,P021,INFLUENCED_BY,负极厚度越大膨胀绝对变形量越大
M011,P092,INFLUENCED_BY,电芯层数越多膨胀累积越大
M012,P066,INFLUENCED_BY,电解液配方决定副反应产气倾向
M012,P117,INFLUENCED_BY,水分含量高加剧界面副反应产气
M012,P105,INFLUENCED_BY,水分含量控制不良导致副反应产气增加
M012,P116,INFLUENCED_BY,高电压加速界面副反应产气
M012,P014,INFLUENCED_BY,充电限制电压高加剧界面副反应
M012,P108,INFLUENCED_BY,化成温度影响初始SEI质量从而影响后续产气
M012,P106,INFLUENCED_BY,陈化条件影响SEI稳定性从而影响产气
M012,P067,INFLUENCED_BY,注液量影响副反应规模
M016,P113,INFLUENCED_BY,NP比不足时析锂风险增大后续析锂产物反应产气
M016,P114,INFLUENCED_BY,大电流充电导致析锂后金属锂与电解液反应产气
M016,P038,INFLUENCED_BY,压实密度过高促进析锂从而增加析锂产物反应
M016,P066,INFLUENCED_BY,电解液配方影响与析锂产物反应剧烈程度
M020,P038,INFLUENCED_BY,压实密度过高增加极片刚性应力导致变形
M020,P056,INFLUENCED_BY,正极压实密度过高导致极片内应力不均
M020,P041,INFLUENCED_BY,单双面压实比不均导致应力集中变形
M020,P040,INFLUENCED_BY,延展差异导致极片内应力分布不均
M020,P079,INFLUENCED_BY,冲坑深度影响电芯内部空间约束和变形模式
M020,P092,INFLUENCED_BY,层数多时各层应力累积导致整体变形
M021,P053,INFLUENCED_BY,正极配方决定高温高压下释氧倾向
M021,P116,INFLUENCED_BY,充电上限电压高加速正极释氧
M021,P014,INFLUENCED_BY,充电限制电压高促进正极晶格释氧
M021,P056,INFLUENCED_BY,正极压实密度影响颗粒间应力加剧释氧
M022,P066,INFLUENCED_BY,电解液配方决定热分解温度和产气量
M022,P117,INFLUENCED_BY,水分含量高降低电解液热稳定性
M022,P105,INFLUENCED_BY,水分含量控制差降低电解液热稳定性
M022,P067,INFLUENCED_BY,注液量多时高温分解产气总量更大
M023,P108,INFLUENCED_BY,化成温度影响初始SEI质量决定后续重构程度
M023,P106,INFLUENCED_BY,陈化条件不佳导致SEI不稳定更易重构产气
M023,P066,INFLUENCED_BY,电解液配方影响SEI组分和重构时产气量
M023,P116,INFLUENCED_BY,高电压加速SEI破坏和重构
M023,P029,INFLUENCED_BY,硅含量高导致体积变化大SEI反复重构产气
M023,P035,INFLUENCED_BY,整体硅占比高加剧SEI反复重构
M027,P116,INFLUENCED_BY,充电上限电压高直接加速电解液氧化分解
M027,P014,INFLUENCED_BY,充电限制电压高促进电解液氧化
M027,P066,INFLUENCED_BY,电解液配方决定氧化分解电位和产气量
M027,P053,INFLUENCED_BY,正极配方影响界面催化氧化分解
M027,P056,INFLUENCED_BY,正极压实密度高使局部电位不均加速氧化
M028,P066,INFLUENCED_BY,电解液配方决定还原分解电位和产气量
M028,P038,INFLUENCED_BY,负极压实密度过高使局部电位异常促进还原分解
M028,P114,INFLUENCED_BY,大电流充电使负极电位过低加速还原分解
M028,P113,INFLUENCED_BY,NP比不足时负极电位更低加速还原分解产气
M028,P108,INFLUENCED_BY,化成温度影响初始SEI质量决定后续还原分解程度
M028,P106,INFLUENCED_BY,陈化条件不佳使SEI不稳定后续还原分解增多
M037,P078,INFLUENCED_BY,铝塑膜厚度决定承受内部压力的极限
M037,P079,INFLUENCED_BY,冲坑深度影响内部空间和压力分布
M037,P092,INFLUENCED_BY,层数多时膨胀和产气累积压力更大
M037,P047,INFLUENCED_BY,正极厚度影响整体膨胀量和压力积累
M037,P021,INFLUENCED_BY,负极厚度影响整体膨胀量和压力积累
M037,P057,INFLUENCED_BY,正极面密度高增加膨胀产气总量
M037,P039,INFLUENCED_BY,负极面密度高增加膨胀产气总量
